frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
212,1.759167,1,0.6602,2980.16,1580.03,3053.66,1644.38,55.65,98.76,ok,11
213,1.767500,1,0.5431,2979.12,1580.55,3055.58,1644.09,54.65,101.04,ok,9
214,1.775833,1,0.5491,2981.25,1581.47,3060.95,1644.16,54.96,103.53,ok,8
215,1.784167,1,0.4148,2980.82,1581.63,3064.20,1643.49,54.48,106.25,ok,10
216,1.792500,1,0.3849,2982.35,1580.89,3069.43,1641.99,56.44,109.12,ok,9
217,1.800833,1,0.3604,2981.40,1581.10,3072.08,1641.57,55.47,112.08,ok,8
218,1.809167,1,0.6332,2982.97,1580.80,3077.06,1640.69,56.86,114.94,ok,8
219,1.817500,1,0.6652,2982.54,1580.85,3079.65,1640.24,56.20,117.56,ok,9
220,1.825833,1,0.5979,2983.04,1580.75,3083.13,1640.13,56.48,120.31,ok,9
221,1.834167,1,0.3639,2982.55,1581.30,3085.56,1641.25,55.06,123.21,ok,11
222,1.842500,1,0.5548,2983.56,1581.22,3089.36,1641.94,56.64,126.10,ok,9
223,1.850833,1,0.5917,2984.14,1582.83,3092.41,1644.44,55.22,128.77,ok,8
224,1.859167,1,0.3702,2984.45,1582.36,3094.63,1644.70,55.27,130.84,ok,8
225,1.867500,1,0.5284,2983.08,1582.18,3094.72,1644.52,54.37,132.18,ok,8
226,1.875833,1,0.6606,2983.91,1582.28,3096.65,1644.29,54.83,133.11,ok,8
227,1.884167,1,0.5237,2984.81,1582.71,3098.65,1644.30,55.36,134.03,ok,11
228,1.892500,1,0.6753,2984.85,1582.36,3099.77,1643.56,56.24,134.93,ok,10
229,1.900833,1,0.5007,2985.01,1582.91,3101.25,1643.84,55.98,136.14,ok,10
230,1.909167,0,,,,,,,137.60,rejected-jump,9
231,1.917500,1,0.3902,2985.41,1583.08,3104.79,1644.09,56.24,139.13,ok,9
232,1.925833,1,0.5389,2985.43,1582.77,3106.41,1644.01,55.73,140.72,ok,9
233,1.934167,1,0.8130,2985.40,1583.23,3107.91,1644.94,54.86,142.30,ok,8
234,1.942500,1,0.5847,2985.59,1583.19,3109.51,1645.56,55.72,143.85,ok,8
